fiscal_year,Query_Run,Customer,Services Category,FundingMechanismClassification,SumOfobligatedAmount,SumOfnumberOfActions
1998,Defense,20:49.0,PAMS,NULL,466675457,2055
1998,Defense,20:49.0,PAMS,Cost No Fee,134709575,240
1998,Defense,20:49.0,Products,NULL,2044242210,16485
1998,Defense,20:49.0,R&D,Cost Sharing,93946757,190
1998,Defense,20:49.0,R&D,Firm Fixed Price,2512841050,3626
1999,Defense,20:49.0,ERS,NULL,144598917,933
1999,Defense,20:49.0,FRS&C,Fixed Price Incentive,261096838,150
1999,Defense,20:49.0,MED,Cost Plus Fixed Fee,61894866,102
1999,Defense,20:49.0,Products,Cost Plus Incentive,1944213315,356
1999,Defense,20:49.0,R&D,NULL,9933044,77
1999,Defense,20:49.0,R&D,Cost No Fee,960998457,1386
1999,Defense,20:49.0,R&D,Cost Plus Award Fee,6823237499,2103
1999,Defense,20:49.0,R&D,Labor Hours,89830792,188
2000,Defense,20:49.0,ERS,Cost Plus Incentive,193133089,38
2000,Defense,20:49.0,FRS&C,Cost Plus Award Fee,1475151752,1851
2000,Defense,20:49.0,FRS&C,Cost Sharing,5889356,7
2000,Defense,20:49.0,FRS&C,Labor Hours,20654618,62
2000,Defense,20:49.0,ICT,Combination (two or more),630815.84,9
2000,Defense,20:49.0,ICT,Fixed Price Incentive,18329043,11
2000,Defense,20:49.0,MED,Not Reported,1122637,13
2000,Defense,20:49.0,PAMS,Cost Plus Fixed Fee,5192501924,14719
2000,Defense,20:49.0,PAMS,Other (none of the above),0,1
2000,Defense,20:49.0,R&D,Not Reported,14452710.78,96
2000,Defense,20:49.0,R&D,Time and Materials,351315382,1518
2001,Defense,20:49.0,ERS,Combination (two or more),24950.1,1
2001,Defense,20:49.0,FRS&C,Cost No Fee,179109312,515
2001,Defense,20:49.0,FRS&C,Time and Materials,255476020,1111
2001,Defense,20:49.0,Fuel,Fixed Price with Economic Price Adjustment,4010983261,672
2001,Defense,20:49.0,ICT,Cost Plus Award Fee,551347185,734
2001,Defense,20:49.0,ICT,Cost Sharing,1148608,3
2001,Defense,20:49.0,ICT,Labor Hours,165342060,462
2001,Defense,20:49.0,PAMS,Fixed Price Redetermination,68735608,128
2001,Defense,20:49.0,Products,Combination (two or more),120105,1
2001,Defense,20:49.0,Products,Cost Sharing,3361611,6
2001,Defense,20:49.0,Products,Firm Fixed Price,39117365313,95072
2001,Defense,20:49.0,Products,Fixed Price Incentive,3618703349,1062
2001,Defense,20:49.0,Products,Fixed Price Redetermination,439898143,244
2001,Defense,20:49.0,R&D,Cost Plus Fixed Fee,6572443858,13481
2001,Defense,20:49.0,R&D,Fixed Price Award Fee,329197,3
2002,Defense,20:49.0,NULL,Firm Fixed Price,37504897.46,73
2002,Defense,20:49.0,ERS,Cost Sharing,222673,2
2002,Defense,20:49.0,ERS,Firm Fixed Price,5333126642,25460
2002,Defense,20:49.0,ERS,Fixed Price Redetermination,68512063,37
2002,Defense,20:49.0,FRS&C,Fixed Price Award Fee,311695662,1589
2002,Defense,20:49.0,ICT,Cost No Fee,14748113.99,59
2002,Defense,20:49.0,ICT,Time and Materials,894692366.9,1991
2002,Defense,20:49.0,MED,Combination (two or more),5823152.34,3
2002,Defense,20:49.0,PAMS,Cost No Fee,558977544,664
1997,Defense,20:49.0,Products,Time and Materials,236724712,691
1997,Defense,20:49.0,R&D,Cost Plus Award Fee,5396701225,2076
1997,Defense,20:49.0,R&D,Fixed Price Redetermination,6502102,13
1998,Defense,20:49.0,ERS,Cost No Fee,36231887,77
1998,Defense,20:49.0,ERS,Fixed Price with Economic Price Adjustment,604111557,103
1998,Defense,20:49.0,ERS,Labor Hours,6558212,40
1998,Defense,20:49.0,FRS&C,Cost Plus Fixed Fee,1277698708,1253
1998,Defense,20:49.0,FRS&C,Fixed Price Redetermination,97153716,258
1998,Defense,20:49.0,MED,Cost No Fee,383143,11
1998,Defense,20:49.0,PAMS,Cost Plus Fixed Fee,4653136115,12851
1998,Defense,20:49.0,Products,Time and Materials,220189562,659
1998,Defense,20:49.0,R&D,Cost Plus Award Fee,6504890605,2206
1999,Defense,20:49.0,ERS,Time and Materials,711367222,1466
1999,Defense,20:49.0,FRS&C,Fixed Price Redetermination,90817984,293
1999,Defense,20:49.0,Fuel,NULL,2627680,2
1999,Defense,20:49.0,ICT,Cost Plus Incentive,141727,2
1999,Defense,20:49.0,ICT,Cost Sharing,50000,1
1999,Defense,20:49.0,MED,Cost No Fee,204453,3
1999,Defense,20:49.0,MED,Labor Hours,1200296,9
1999,Defense,20:49.0,PAMS,Cost Plus Fixed Fee,4643445438,13582
1999,Defense,20:49.0,R&D,Cost Plus Fixed Fee,6154147668,13666
2000,Defense,20:49.0,NULL,Fixed Price Incentive,0,NULL
2000,Defense,20:49.0,ERS,Not Reported,101467041,728
2000,Defense,20:49.0,FRS&C,Firm Fixed Price,13594266535,64151
2000,Defense,20:49.0,ICT,Cost No Fee,21222251,41
2000,Defense,20:49.0,ICT,Cost Plus Incentive,1484256,4
2000,Defense,20:49.0,ICT,Fixed Price with Economic Price Adjustment,130241304,1479
2000,Defense,20:49.0,MED,Time and Materials,168981,9
2000,Defense,20:49.0,PAMS,Cost Plus Incentive,150428240,153
2000,Defense,20:49.0,Products,Fixed Price with Economic Price Adjustment,1544559725,1986
2000,Defense,20:49.0,R&D,Fixed Price Award Fee,5416334,4
2001,Defense,20:49.0,NULL,Combination (two or more),12475,1
2001,Defense,20:49.0,NULL,Cost No Fee,0,1
2001,Defense,20:49.0,ERS,Fixed Price with Economic Price Adjustment,975697126,174
2001,Defense,20:49.0,ERS,Labor Hours,67779717,34
2001,Defense,20:49.0,ERS,Not Reported,88010024,682
2001,Defense,20:49.0,FRS&C,Cost Plus Award Fee,1694174904,2169
2001,Defense,20:49.0,FRS&C,Cost Plus Fixed Fee,1080773521,1322
2001,Defense,20:49.0,FRS&C,Firm Fixed Price,15093397937,67885
2001,Defense,20:49.0,Fuel,Firm Fixed Price,101883608,382
2001,Defense,20:49.0,ICT,Cost No Fee,21589931,70
2001,Defense,20:49.0,ICT,Fixed Price Incentive,26988913,15
2001,Defense,20:49.0,ICT,Fixed Price with Economic Price Adjustment,690427134,2654
2001,Defense,20:49.0,PAMS,Cost Plus Incentive,302305633,188
2001,Defense,20:49.0,R&D,Cost Plus Incentive,1043278148,309
2002,Defense,20:49.0,NULL,Cost No Fee,1,2
2002,Defense,20:49.0,NULL,Time and Materials,4125519.72,11
2002,Defense,20:49.0,ERS,Fixed Price Incentive,1334055165,211
2002,Defense,20:49.0,ERS,Fixed Price with Economic Price Adjustment,607910717,522
1999,Defense,20:49.0,ICT,Cost Plus Award Fee,610133635,778
1999,Defense,20:49.0,ICT,Labor Hours,131643563,450
1999,Defense,20:49.0,MED,Fixed Price with Economic Price Adjustment,4157861,33
1999,Defense,20:49.0,PAMS,Cost Sharing,11717957,36
1999,Defense,20:49.0,PAMS,Firm Fixed Price,5000737958,22290
1999,Defense,20:49.0,PAMS,Fixed Price Redetermination,70703960,176
1999,Defense,20:49.0,Products,Cost Sharing,3070790,10
1999,Defense,20:49.0,Products,Firm Fixed Price,29964874258,79651
1999,Defense,20:49.0,Products,Fixed Price Incentive,5113308502,1115
2000,Defense,20:49.0,NULL,Cost Plus Fixed Fee,3253701,14
2000,Defense,20:49.0,ERS,Cost Sharing,6053484,6
2000,Defense,20:49.0,ERS,Firm Fixed Price,4088066879,13616
2000,Defense,20:49.0,FRS&C,Cost Plus Incentive,57219265,61
2000,Defense,20:49.0,FRS&C,Fixed Price Award Fee,122157099,152
2000,Defense,20:49.0,FRS&C,Other (none of the above),2894007,10
2000,Defense,20:49.0,Fuel,Time and Materials,59515,2
2000,Defense,20:49.0,ICT,Not Reported,1951904953,6868
2000,Defense,20:49.0,ICT,Time and Materials,1143669600,1736
2000,Defense,20:49.0,MED,Fixed Price Incentive,9257277,12
2000,Defense,20:49.0,PAMS,Cost No Fee,159642506,331
2000,Defense,20:49.0,PAMS,Cost Plus Award Fee,3896017078,4214
2000,Defense,20:49.0,PAMS,Fixed Price with Economic Price Adjustment,64384813,64
2000,Defense,20:49.0,PAMS,Labor Hours,189957962.5,633
2000,Defense,20:49.0,Products,Cost No Fee,888376483,1308
2000,Defense,20:49.0,Products,Cost Plus Award Fee,2594769403,1099
2000,Defense,20:49.0,Products,Labor Hours,116272490,173
2000,Defense,20:49.0,Products,Order Dependent (IDV only),0,NULL
2000,Defense,20:49.0,R&D,Cost Sharing,159843852,220
2000,Defense,20:49.0,R&D,Firm Fixed Price,2121855262,4053
2000,Defense,20:49.0,R&D,Fixed Price Redetermination,109044679,112
2001,Defense,20:49.0,ERS,Cost No Fee,107311091,126
2001,Defense,20:49.0,ERS,Cost Plus Award Fee,1202050588,2055
2001,Defense,20:49.0,ICT,Fixed Price Award Fee,10262851,22
2001,Defense,20:49.0,MED,Firm Fixed Price,2934300909,3061
2001,Defense,20:49.0,PAMS,Time and Materials,1976508870,6368
2001,Defense,20:49.0,Products,Not Reported,2687353634,21379
2001,Defense,20:49.0,Products,Time and Materials,250344276.2,673
2001,Defense,20:49.0,R&D,Cost No Fee,1046830594,1458
2001,Defense,20:49.0,R&D,Cost Plus Award Fee,8060014830,1603
2001,Defense,20:49.0,R&D,Fixed Price with Economic Price Adjustment,148084644,30
2001,Defense,20:49.0,R&D,Labor Hours,41240364,91
2002,Defense,20:49.0,NULL,Not Reported,2862873.83,49
2002,Defense,20:49.0,FRS&C,Cost Sharing,66113,3
2002,Defense,20:49.0,FRS&C,Fixed Price Redetermination,121123394,183
2002,Defense,20:49.0,Fuel,Not Reported,5402521,14
2002,Defense,20:49.0,ICT,Combination (two or more),868653,2
2002,Defense,20:49.0,MED,Cost No Fee,23119808.98,24
2002,Defense,20:49.0,PAMS,Cost Plus Fixed Fee,5348152022,16882
2002,Defense,20:49.0,PAMS,Fixed Price Award Fee,106274524.6,105
1998,Defense,20:49.0,MED,Firm Fixed Price,2640613412,2466
1998,Defense,20:49.0,PAMS,Fixed Price with Economic Price Adjustment,55068327,112
1998,Defense,20:49.0,PAMS,Time and Materials,1855695696,6361
1998,Defense,20:49.0,Products,Cost Plus Award Fee,1923834280,751
1998,Defense,20:49.0,Products,Cost Plus Fixed Fee,3185255525,1730
1998,Defense,20:49.0,R&D,Fixed Price with Economic Price Adjustment,230912408,25
1998,Defense,20:49.0,R&D,Time and Materials,343041858,1236
1999,Defense,20:49.0,ERS,Fixed Price Redetermination,8854450,54
1999,Defense,20:49.0,FRS&C,Cost No Fee,124821336,185
1999,Defense,20:49.0,ICT,Cost Plus Fixed Fee,726652028,2071
1999,Defense,20:49.0,MED,Cost Plus Award Fee,-72881,1
1999,Defense,20:49.0,PAMS,Fixed Price Incentive,145277013,239
1999,Defense,20:49.0,Products,Fixed Price Redetermination,100837089,318
1999,Defense,20:49.0,R&D,Fixed Price Incentive,89971470,74
2000,Defense,20:49.0,NULL,Firm Fixed Price,181799.12,26
2000,Defense,20:49.0,ERS,Cost Plus Award Fee,1500523855,2576
2000,Defense,20:49.0,ERS,Cost Plus Fixed Fee,749195274,1363
2000,Defense,20:49.0,FRS&C,Fixed Price with Economic Price Adjustment,345420884,770
2000,Defense,20:49.0,ICT,Fixed Price Redetermination,13778982,59
2000,Defense,20:49.0,MED,Firm Fixed Price,2091771991,2337
2000,Defense,20:49.0,MED,Fixed Price Redetermination,97900,2
2000,Defense,20:49.0,Products,Cost Plus Fixed Fee,3377320884,2353
2001,Defense,20:49.0,NULL,Cost Plus Award Fee,17913,2
2001,Defense,20:49.0,NULL,Cost Plus Fixed Fee,1488528,12
2001,Defense,20:49.0,NULL,Order Dependent (IDV only),0,NULL
2001,Defense,20:49.0,ERS,Fixed Price Award Fee,214777883,164
2001,Defense,20:49.0,ERS,Fixed Price Redetermination,129745050,71
2001,Defense,20:49.0,FRS&C,Fixed Price Incentive,289512824,855
2001,Defense,20:49.0,FRS&C,Not Reported,261097239,967
2001,Defense,20:49.0,ICT,Cost Plus Fixed Fee,523658265,1722
2001,Defense,20:49.0,ICT,Firm Fixed Price,2695807795,9605
2001,Defense,20:49.0,MED,Cost Plus Fixed Fee,161623409,160
2001,Defense,20:49.0,PAMS,Combination (two or more),196578482,13
2001,Defense,20:49.0,PAMS,Fixed Price Incentive,209480585,234
2001,Defense,20:49.0,PAMS,Not Reported,1180185354,4715
2001,Defense,20:49.0,PAMS,Order Dependent (IDV only),0,NULL
2001,Defense,20:49.0,Products,Cost Plus Incentive,1628808530,388
2001,Defense,20:49.0,Products,Fixed Price Award Fee,75547937.54,50
2001,Defense,20:49.0,R&D,Combination (two or more),513745,1
2001,Defense,20:49.0,R&D,Fixed Price Incentive,313175387,58
2002,Defense,20:49.0,ERS,Cost Plus Fixed Fee,945023985.1,1785
2002,Defense,20:49.0,FRS&C,Labor Hours,22928338,42
2002,Defense,20:49.0,ICT,Cost Plus Award Fee,612397756,795
2002,Defense,20:49.0,ICT,Fixed Price Redetermination,3108608,18
2002,Defense,20:49.0,MED,Fixed Price Redetermination,1620000,1
2002,Defense,20:49.0,PAMS,Firm Fixed Price,7460381170,43980
2002,Defense,20:49.0,Products,Cost Sharing,-154372,4
2002,Defense,20:49.0,R&D,Firm Fixed Price,3949103389,5721
1997,Defense,20:49.0,R&D,Firm Fixed Price,3487392478,3707
1998,Defense,20:49.0,ERS,Time and Materials,769395279,1597
1998,Defense,20:49.0,FRS&C,Fixed Price Incentive,138774435,196
1998,Defense,20:49.0,FRS&C,Time and Materials,125901170,326
1998,Defense,20:49.0,Fuel,NULL,1158715,11
1998,Defense,20:49.0,Fuel,Cost No Fee,437344,6
1998,Defense,20:49.0,ICT,Cost Plus Fixed Fee,699748022,2082
1998,Defense,20:49.0,MED,Cost Plus Fixed Fee,18970316,74
1998,Defense,20:49.0,MED,Labor Hours,921099,9
1998,Defense,20:49.0,PAMS,Cost Plus Incentive,91256984,116
1998,Defense,20:49.0,Products,Cost Plus Incentive,2511822229,383
1998,Defense,20:49.0,Products,Firm Fixed Price,26466879666,76775
1998,Defense,20:49.0,R&D,Cost No Fee,1007851236,1425
1999,Defense,20:49.0,FRS&C,Cost Sharing,170000,1
1999,Defense,20:49.0,FRS&C,Labor Hours,8044263,39
1999,Defense,20:49.0,MED,Time and Materials,410218,7
1999,Defense,20:49.0,PAMS,NULL,959447021,3958
1999,Defense,20:49.0,Products,Cost Plus Award Fee,2849958873,1109
1999,Defense,20:49.0,R&D,Cost Sharing,105631093,184
1999,Defense,20:49.0,R&D,Firm Fixed Price,2466487027,3833
1999,Defense,20:49.0,R&D,Fixed Price Redetermination,11391068,64
2000,Defense,20:49.0,FRS&C,Cost No Fee,121615137,316
2000,Defense,20:49.0,FRS&C,Time and Materials,131333964,428
2000,Defense,20:49.0,ICT,Cost Sharing,27219,1
2000,Defense,20:49.0,ICT,Fixed Price Award Fee,98400,1
2000,Defense,20:49.0,Products,Firm Fixed Price,35619872072,83134
2000,Defense,20:49.0,Products,Fixed Price Redetermination,313208609,458
2000,Defense,20:49.0,R&D,Cost No Fee,941303155,1515
2000,Defense,20:49.0,R&D,Cost Plus Award Fee,7112999503,1942
2000,Defense,20:49.0,R&D,Cost Plus Fixed Fee,6058596374,14360
2000,Defense,20:49.0,R&D,Labor Hours,39986739,101
2001,Defense,20:49.0,NULL,Firm Fixed Price,1328343.45,57
2001,Defense,20:49.0,NULL,Fixed Price Award Fee,13342,1
2001,Defense,20:49.0,ERS,Cost Sharing,575084,3
2001,Defense,20:49.0,FRS&C,Fixed Price Award Fee,259746914,460
2001,Defense,20:49.0,FRS&C,Fixed Price Redetermination,114051553,193
2001,Defense,20:49.0,PAMS,Fixed Price Award Fee,45600988,59
2001,Defense,20:49.0,PAMS,Fixed Price with Economic Price Adjustment,33244617,46
2001,Defense,20:49.0,Products,Cost Plus Award Fee,2465289950,1125
2001,Defense,20:49.0,Products,Cost Plus Fixed Fee,6297784500,1974
2001,Defense,20:49.0,Products,Fixed Price with Economic Price Adjustment,2345818234,3589
2001,Defense,20:49.0,Products,Order Dependent (IDV only),0,NULL
2001,Defense,20:49.0,R&D,Fixed Price Redetermination,68745563,90
2001,Defense,20:49.0,R&D,Not Reported,12218713.03,79
2001,Defense,20:49.0,R&D,Time and Materials,432952301.2,1428
2002,Defense,20:49.0,NULL,Order Dependent (IDV only),0,NULL
2002,Defense,20:49.0,ERS,Cost No Fee,31502440,121
2002,Defense,20:49.0,ERS,Labor Hours,2981514,40
2002,Defense,20:49.0,FRS&C,Cost No Fee,369275930,669
2002,Defense,20:49.0,FRS&C,Cost Plus Fixed Fee,858633557.4,1118
1999,Defense,20:49.0,Fuel,Firm Fixed Price,96921513,365
1999,Defense,20:49.0,ICT,Firm Fixed Price,2047791020,7483
1999,Defense,20:49.0,ICT,Fixed Price Incentive,23714059,15
1999,Defense,20:49.0,ICT,Time and Materials,765462849,1867
1999,Defense,20:49.0,MED,Fixed Price Incentive,2783864,40
1999,Defense,20:49.0,PAMS,Cost No Fee,99103907,236
1999,Defense,20:49.0,PAMS,Cost Plus Award Fee,3278282046,3569
1999,Defense,20:49.0,PAMS,Labor Hours,177271140,819
1999,Defense,20:49.0,Products,NULL,2660729684,19340
1999,Defense,20:49.0,Products,Cost No Fee,1229812248,1922
2000,Defense,20:49.0,NULL,Combination (two or more),48443,2
2000,Defense,20:49.0,NULL,Time and Materials,254795,4
2000,Defense,20:49.0,ERS,Order Dependent (IDV only),0,NULL
2000,Defense,20:49.0,Fuel,Fixed Price with Economic Price Adjustment,3436313188,591
2000,Defense,20:49.0,ICT,Cost Plus Award Fee,617638843,738
2000,Defense,20:49.0,ICT,Labor Hours,147995829,484
2000,Defense,20:49.0,PAMS,Cost Sharing,3313005,7
2000,Defense,20:49.0,PAMS,Firm Fixed Price,5681387201,26758
2000,Defense,20:49.0,PAMS,Fixed Price Redetermination,84572940,155
2000,Defense,20:49.0,PAMS,Time and Materials,2234934101,6996
2000,Defense,20:49.0,Products,Cost Sharing,20464173,16
2000,Defense,20:49.0,Products,Fixed Price Incentive,5359681445,1662
2000,Defense,20:49.0,Products,Not Reported,3645641106,20477
2000,Defense,20:49.0,R&D,Fixed Price with Economic Price Adjustment,93428767,21
2001,Defense,20:49.0,ERS,Cost Plus Incentive,154192848,41
2001,Defense,20:49.0,ERS,Firm Fixed Price,3894000288,13816
2001,Defense,20:49.0,FRS&C,Other (none of the above),9690387,14
2001,Defense,20:49.0,Fuel,Not Reported,1330721,11
2001,Defense,20:49.0,ICT,Combination (two or more),52200,4
2001,Defense,20:49.0,ICT,Time and Materials,602172074,1439
2001,Defense,20:49.0,MED,Fixed Price Incentive,2427944,2
2001,Defense,20:49.0,MED,Not Reported,2054613,24
2001,Defense,20:49.0,PAMS,Cost No Fee,235009111,337
2001,Defense,20:49.0,PAMS,Cost Plus Award Fee,3413703964,4153
2001,Defense,20:49.0,PAMS,Cost Plus Fixed Fee,4366642305,13780
2001,Defense,20:49.0,PAMS,Labor Hours,260066020.5,776
2001,Defense,20:49.0,Products,Cost No Fee,1219704850,1128
2001,Defense,20:49.0,Products,Labor Hours,90833036,97
2002,Defense,20:49.0,ERS,Combination (two or more),48708.07,3
2002,Defense,20:49.0,ERS,Cost Plus Award Fee,1457059815,3360
2002,Defense,20:49.0,ERS,Order Dependent (IDV only),0,NULL
2002,Defense,20:49.0,FRS&C,Fixed Price with Economic Price Adjustment,168903918,781
2002,Defense,20:49.0,Fuel,Fixed Price with Economic Price Adjustment,5062036311,796
2002,Defense,20:49.0,MED,Firm Fixed Price,5150978374,4830
2002,Defense,20:49.0,PAMS,Fixed Price Redetermination,44365469,141
2002,Defense,20:49.0,PAMS,Time and Materials,2435681749,7264
2002,Defense,20:49.0,Products,Combination (two or more),25491254,27
2002,Defense,20:49.0,Products,Fixed Price Incentive,6030725687,859
2002,Defense,20:49.0,Products,Not Reported,4334833234,38884
1998,Defense,20:49.0,ERS,NULL,102925304,770
1998,Defense,20:49.0,ERS,Firm Fixed Price,3423311902,9451
1998,Defense,20:49.0,ERS,Fixed Price Redetermination,20201870,42
1998,Defense,20:49.0,FRS&C,Cost No Fee,144341626,221
1998,Defense,20:49.0,ICT,Time and Materials,608158345,1896
1998,Defense,20:49.0,MED,Cost Plus Award Fee,-37000,1
1998,Defense,20:49.0,PAMS,Fixed Price Incentive,118388619,308
1998,Defense,20:49.0,PAMS,Labor Hours,233861514,1058
1998,Defense,20:49.0,Products,Fixed Price Redetermination,55166113,266
1998,Defense,20:49.0,R&D,Fixed Price Incentive,260800298,47
1998,Defense,20:49.0,R&D,Labor Hours,75800482,194
1999,Defense,20:49.0,ERS,Cost Plus Award Fee,1344057618,1820
1999,Defense,20:49.0,ERS,Cost Plus Fixed Fee,674051670,1016
1999,Defense,20:49.0,FRS&C,Fixed Price with Economic Price Adjustment,307467236,828
1999,Defense,20:49.0,ICT,NULL,1265189038,4924
1999,Defense,20:49.0,ICT,Fixed Price Redetermination,38796992,69
1999,Defense,20:49.0,MED,NULL,10228132,31
1999,Defense,20:49.0,MED,Firm Fixed Price,3314020143,2530
1999,Defense,20:49.0,MED,Fixed Price Redetermination,79280139,7
1999,Defense,20:49.0,PAMS,Fixed Price with Economic Price Adjustment,69118543,139
1999,Defense,20:49.0,PAMS,Time and Materials,1981914608,6688
1999,Defense,20:49.0,Products,Cost Plus Fixed Fee,3704680813,1870
1999,Defense,20:49.0,R&D,Fixed Price with Economic Price Adjustment,207735538,32
1999,Defense,20:49.0,R&D,Time and Materials,413882013,1460
2000,Defense,20:49.0,NULL,Cost Plus Award Fee,13395,3
2000,Defense,20:49.0,NULL,Order Dependent (IDV only),0,NULL
2000,Defense,20:49.0,ERS,Fixed Price Award Fee,90201866,82
2000,Defense,20:49.0,ERS,Fixed Price Redetermination,48726285,50
2000,Defense,20:49.0,FRS&C,Fixed Price Incentive,248370160,747
2000,Defense,20:49.0,FRS&C,Not Reported,152484057,585
2000,Defense,20:49.0,ICT,Cost Plus Fixed Fee,775449734,2088
2000,Defense,20:49.0,ICT,Firm Fixed Price,2367803565,8202
2000,Defense,20:49.0,MED,Cost Plus Award Fee,-30000,1
2000,Defense,20:49.0,MED,Cost Plus Fixed Fee,98936748,128
2000,Defense,20:49.0,PAMS,Combination (two or more),6256780.97,10
2000,Defense,20:49.0,PAMS,Fixed Price Incentive,138623954,223
2000,Defense,20:49.0,PAMS,Not Reported,749386627.7,3174
2000,Defense,20:49.0,Products,Cost Plus Incentive,2270381265,372
2000,Defense,20:49.0,Products,Fixed Price Award Fee,41224578,9
2000,Defense,20:49.0,R&D,Combination (two or more),170000,2
2000,Defense,20:49.0,R&D,Fixed Price Incentive,140926479,49
2001,Defense,20:49.0,ERS,Cost Plus Fixed Fee,543470432,1281
2001,Defense,20:49.0,ERS,Other (none of the above),0,1
2001,Defense,20:49.0,FRS&C,Fixed Price with Economic Price Adjustment,290628693,813
2001,Defense,20:49.0,FRS&C,Labor Hours,9563208,40
2001,Defense,20:49.0,ICT,Fixed Price Redetermination,915948,16
2001,Defense,20:49.0,MED,Fixed Price Award Fee,1971432,1
2001,Defense,20:49.0,MED,Fixed Price Redetermination,231000000,1
1999,Defense,20:49.0,ERS,Fixed Price with Economic Price Adjustment,388501332,85
1999,Defense,20:49.0,ERS,Labor Hours,7984819,31
1999,Defense,20:49.0,FRS&C,Cost Plus Fixed Fee,1261227448,1238
1999,Defense,20:49.0,FRS&C,Firm Fixed Price,13808259500,41350
1999,Defense,20:49.0,ICT,Cost No Fee,29281691,93
1999,Defense,20:49.0,ICT,Fixed Price with Economic Price Adjustment,372112423,1420
1999,Defense,20:49.0,PAMS,Cost Plus Incentive,625589058,209
1999,Defense,20:49.0,Products,Fixed Price with Economic Price Adjustment,1183401640,1967
1999,Defense,20:49.0,Products,Labor Hours,43350863,176
1999,Defense,20:49.0,Products,Time and Materials,376939742,1055
1999,Defense,20:49.0,R&D,Cost Plus Incentive,1034954202,394
2000,Defense,20:49.0,NULL,Not Reported,3264341,85
2000,Defense,20:49.0,ERS,Cost No Fee,132635753,167
2000,Defense,20:49.0,ERS,Fixed Price Incentive,216299822,122
2000,Defense,20:49.0,ERS,Fixed Price with Economic Price Adjustment,682508785,137
2000,Defense,20:49.0,ERS,Labor Hours,24934256,38
2000,Defense,20:49.0,ERS,Time and Materials,731700005,1857
2000,Defense,20:49.0,FRS&C,Cost Plus Fixed Fee,1302925229,1192
2000,Defense,20:49.0,FRS&C,Fixed Price Redetermination,155830281,346
2000,Defense,20:49.0,Fuel,Firm Fixed Price,103880135,445
2000,Defense,20:49.0,Fuel,Not Reported,218866,6
2000,Defense,20:49.0,MED,Fixed Price with Economic Price Adjustment,5252235,57
2000,Defense,20:49.0,MED,Labor Hours,683154,8
2000,Defense,20:49.0,PAMS,Fixed Price Award Fee,6706551,16
2000,Defense,20:49.0,Products,Time and Materials,225271502.7,730
2000,Defense,20:49.0,R&D,Cost Plus Incentive,1111626755,318
2001,Defense,20:49.0,NULL,Not Reported,2294152.41,42
2001,Defense,20:49.0,NULL,Time and Materials,43326.29,2
2001,Defense,20:49.0,ERS,Fixed Price Incentive,1730468208,138
2001,Defense,20:49.0,ERS,Time and Materials,713345470,1681
2001,Defense,20:49.0,FRS&C,Cost Plus Incentive,130167510,73
2001,Defense,20:49.0,ICT,Cost Plus Incentive,3709965,7
2001,Defense,20:49.0,ICT,Not Reported,2228616290,6989
2001,Defense,20:49.0,MED,Cost No Fee,15441022.25,15
2001,Defense,20:49.0,MED,Fixed Price with Economic Price Adjustment,569962,23
2001,Defense,20:49.0,MED,Labor Hours,713567,6
2001,Defense,20:49.0,MED,Time and Materials,5392744,7
2001,Defense,20:49.0,PAMS,Cost Sharing,2816459,12
2001,Defense,20:49.0,R&D,Cost Sharing,81401217,154
2002,Defense,20:49.0,NULL,Combination (two or more),9501977,4
2002,Defense,20:49.0,ERS,Not Reported,55995530,421
2002,Defense,20:49.0,FRS&C,Cost Plus Incentive,104706875,138
2002,Defense,20:49.0,FRS&C,Firm Fixed Price,16101803327,96799
2002,Defense,20:49.0,FRS&C,Other (none of the above),4705716,11
2002,Defense,20:49.0,ICT,Fixed Price Level of Effort,43682,1
2002,Defense,20:49.0,ICT,Fixed Price with Economic Price Adjustment,401660087,3399
2002,Defense,20:49.0,ICT,Not Reported,2340778729,8383
2002,Defense,20:49.0,MED,Time and Materials,13392336,15
2002,Defense,20:49.0,PAMS,Cost Plus Incentive,505420963,347
2001,Defense,20:49.0,PAMS,Firm Fixed Price,6171583439,28385
2001,Defense,20:49.0,R&D,Firm Fixed Price,2954994142,4088
2002,Defense,20:49.0,NULL,Cost Plus Award Fee,2973364,5
2002,Defense,20:49.0,NULL,Cost Plus Fixed Fee,6311509,21
2002,Defense,20:49.0,NULL,Other (none of the above),0,1
2002,Defense,20:49.0,ERS,Cost Plus Incentive,260547384,416
2002,Defense,20:49.0,ERS,Fixed Price Award Fee,244190791,638
2002,Defense,20:49.0,FRS&C,Combination (two or more),17693338,9
2002,Defense,20:49.0,FRS&C,Fixed Price Incentive,652807197,1127
2002,Defense,20:49.0,FRS&C,Not Reported,312153209.3,1775
2002,Defense,20:49.0,FRS&C,Time and Materials,256516611,1768
2002,Defense,20:49.0,Fuel,Cost No Fee,18745000,6
2002,Defense,20:49.0,ICT,Cost Plus Fixed Fee,655176524,1813
2002,Defense,20:49.0,ICT,Firm Fixed Price,2796729694,13242
2002,Defense,20:49.0,MED,Cost Plus Award Fee,71642548,49
2002,Defense,20:49.0,MED,Cost Plus Fixed Fee,64360662,142
2002,Defense,20:49.0,PAMS,Combination (two or more),10876129.16,25
2002,Defense,20:49.0,PAMS,Order Dependent (IDV only),0,NULL
2002,Defense,20:49.0,Products,Cost Plus Incentive,1315612270,651
