ParentID	FiscalYear	ObligatedAmount	ObligatedAmountIsSmall	PercentIsSmall	LargeGreaterThan3B	MaxOfAnyIsSmall	MinOfAnyIsSmall	MaxOfIsOnePercentPlusSmall	MinOfIsOnePercentPlusSmall	MaxOfAlwaysIsSmall	MinOfAlwaysIsSmall
SEMCOR	2005	10067991.81	274976	0.027311	0	1	0	1	0	0	0
BAY STATE GAS	2002	1112567	0	0	0	0	0	0	0	0	0
HIGHLAND ACQUISITION	2008	10351205.9	14974.89	0.001446	0	1	0	0	0	0	0
SAALEX SOLUTIONS	2005	2037586	2037586	1	0	1	1	1	1	1	1
PRECISION STANDARD	1999	128062762	861205	0.006724	0	1	0	1	0	1	0
STUART C IRBY COMPANY	2002	15653	15653	1	0	1	1	1	1	1	1
HELLFIRE SYSTEMS	2008	413398260.7	0	0	1	0	0	0	0	0	0
VIASAT	1998	17608762	17258762	0.980123	0	1	1	1	1	0	0
SIERRA NEVADA	1995	13025346	13025346	1	0	1	1	1	1	1	1
CAMP DRESSER & MCKEE	2015	42712153.93	95914	0.002245	0	1	0	1	0	0	0
ENGINEOUS SOFTWARE	1998	800654	800654	1	0	1	1	1	1	1	1
AVISTA	2014	299243.112	0	0	0	0	0	0	0	0	0
TERADYNE	1995	1471549	0	0	0	0	0	0	0	0	0
ALLMOND & COMPANY	2015	1064824.53	1064824.53	1	0	1	1	1	1	1	1
PRAXIS INTERNATIONAL	1995	1895946	1763510	0.930147	0	1	0	1	0	1	0
INTELLIGENT DECISIONS	2012	159672030.9	118189314.7	0.7402	0	1	1	1	1	0	0
ADVANCED MICROMACHINES	2012	67550	67550	1	0	1	1	1	1	1	1
EXPAMENT	2015	43239.86	43239.86	1	0	1	1	1	1	1	1
VIASAT	1995	5650239	5650239	1	0	1	1	1	1	1	1
MICROS SYSTEMS	2015	26833.14	4969.44	0.185197	0	1	1	1	1	0	0
AMERICAN TRANS AIR KALITTA JV	1995	1638537	0	0	0	0	0	0	0	0	0
WASHINGTON CLOSURE LIMITED LIABILITY COMPANY	2015	230043305.7	0	0	1	0	0	0	0	0	0
ELLIOTT AVIATION	2015	8500	8500	1	0	1	1	1	1	1	1
BLUE CROSS & BLUE SHIELD	2015	143821453.9	0	0	0	0	0	0	0	0	0
NAME EDGE TECHNOLOGIES	2012	700976	700976	1	0	1	1	1	1	1	1
VAUGHN & MELTON	2012	630947.21	0	0	0	0	0	0	0	0	0
DEWBERRY	2012	16260060.1	0	0	0	0	0	0	0	0	0
UNIVERSITY OF MICHIGAN	2008	20194660.69	0	0	0	0	0	0	0	0	0
Mansfield Oil	1995	6916685	6916685	1	0	1	1	1	1	1	1
SERCO GROUP PLC	1992	156733	0	0	1	0	0	0	0	0	0
SOUTHWESTERN BELL	2008	128459.71	0	0	0	0	0	0	0	0	0
MORRISON KNUDSEN	2011	59527010.73	0	0	0	0	0	0	0	0	0
PENNSYLVANIA STATE UNIVERSITY	1995	57746208	0	0	1	0	0	0	0	0	0
DEWBERRY	2015	282515.98	0	0	0	0	0	0	0	0	0
UNIVERSITY OF MICHIGAN	2011	54214127.07	0	0	0	0	0	0	0	0	0
ODETICS	2008	1419872	0	0	0	0	0	0	0	0	0
SERCO GROUP PLC	2015	579013024.9	0	0	1	0	0	0	0	0	0
IHI	2015	100014.67	350354.44	3.50303	0	1	0	1	0	1	0
SIDEREAL SOLUTIONS	2011	-6360.15	-6360.15	1	0	1	1	1	1	1	1
NEWPORT NEWS SHIPBUILDING [NORTHROP GRUMMAN]	1996	402004793	335651	0.000834	0	1	0	1	0	0	0
NORTHROP GRUMMAN	1990	674475707	0	0	1	0	0	0	0	0	0
ASHLAND OIL	2011	4952.35	0	0	0	0	0	0	0	0	0
HART CROWSER	1990	3297000	2599000	0.788292	0	1	1	1	1	0	0
NORTHROP GRUMMAN	2013	11106199624	204347257.9	0.018399	1	1	0	1	0	1	0
ISRATEX	1990	6082000	0	0	0	0	0	0	0	0	0
PFIZER	1993	4091598	0	0	0	0	0	0	0	0	0
GENERAL SERVICES ADMIN	2013	3081.6	3081.6	1	0	1	1	1	1	1	1
INTEL	2013	116371.55	22907	0.196843	1	1	0	1	0	1	0
LEADS	1999	989380	403266	0.407594	0	1	1	1	1	0	0
BERKSHIRE HATHAWAY	2008	165818071.7	375530	0.002264	1	1	0	1	0	0	0
GRAYBAR	2014	97341442.71	50462.5795	0.000518	1	1	0	1	0	1	0
BELL HOWELL	2005	4409142.28	0	0	0	0	0	0	0	0	0
ALLIED AEROSPACE INDUS	2008	1117661	0	0	0	0	0	0	0	0	0
KAISER AEROPSACE & ELECTRONICS	2005	58922766	257596	0.004371	0	1	1	1	0	0	0
CHARLES STARK DRAPER LABORATORY	1999	166362590	74928	0.00045	0	1	1	0	0	0	0
LAYNE WESTERN	1999	73959	0	0	0	0	0	0	0	0	0
SENSOR SYSTEMS	2001	2307693	2265825	0.981857	0	1	1	1	1	1	0
ASTRONAUTICS OF AMERICA	1996	614219	0	0	0	0	0	0	0	0	0
KFORCE	2005	36190967.71	12856336.96	0.355236	0	1	1	1	1	1	0
TIME WARNER CABLE	1999	2211877	0	0	1	0	0	0	0	0	0
BIOMERIEUX	2008	9311684	-651467	-0.069962	0	1	1	0	0	0	0
UNIVERSITY OF THE PACIFIC	2008	846621.33	0	0	0	0	0	0	0	0	0
EXPONENT FAILURE ANALYSIS	2002	255000	0	0	0	0	0	0	0	0	0
TEXWEST INVESTMENT	2008	678973.98	678973.98	1	0	1	1	1	1	1	1
Sauer Holdings Inc	2002	54975626	228088	0.004148	0	1	1	0	0	0	0
CITIZENS UTILITIES COMPANY	2005	4718	0	0	0	0	0	0	0	0	0
INTEL	2010	128460.45	68974.1	0.536928	1	1	0	1	0	1	0
UNIVERSITY OF NEBRASKA	2002	296289	0	0	0	0	0	0	0	0	0
CANDO	2005	23773.86	23773.86	1	0	1	1	1	1	1	1
JANUS SOFTWARE	2005	2657499.12	2579680.12	0.970717	0	1	1	1	1	0	0
CHEMONICS INTERNATIONAL	2002	91543288.58	10313000	0.112657	0	1	0	1	0	0	0
PROQUEST COMPAN	2002	797000	285638	0.358391	0	1	0	1	0	0	0
VERIZON	2005	453049291.2	-827074.3	-0.001825	1	1	0	1	0	1	0
WALGREENS	2002	4115263	800000	0.194398	1	1	1	1	1	0	0
KOR ELECTRONICS	2005	7113872	7113872	1	0	1	1	1	1	1	1
EI KANE	2005	2816274.6	298566.85	0.106014	0	1	1	1	1	0	0
ABB	2002	109000	0	0	0	0	0	0	0	0	0
GLOBAL MARITIME SERVICES	1999	12420928	11687483	0.94095	0	1	1	1	1	0	0
IBM	2014	1413418994	29774778.16	0.021065	1	1	0	1	0	1	0
PREMIER PROFESSIONAL SYSTEMS I	1999	13782043	13782043	1	0	1	1	1	1	1	1
SISTERS OF CHARITY HEALTH CARE	2001	53563338	0	0	0	0	0	0	0	0	0
BIOMERIEUX	2005	5021732	0	0	0	1	1	0	0	0	0
DONALD C NEAL CONSTRUCTION	2005	27535	27535	1	0	1	1	1	1	1	1
XSYSTEMS	2005	99998	99998	1	0	1	1	1	1	1	1
MTA	2011	14757138.2	14276054.2	0.967399	0	1	0	1	0	1	0
American Science & Engineering	1999	5047058	4681742	0.927618	0	1	1	1	1	0	0
THE CITY UNIVERSITY NEW YORK	2001	4298405	0	0	0	0	0	0	0	0	0
NORTHWESTERN	2008	742670.98	37638.54	0.050679	0	1	0	1	0	1	0
MARRIOTT	2002	4149347	33309	0.008027	0	1	0	1	0	1	0
BELL HOWELL	2002	427629	147595	0.345147	0	1	0	1	0	0	0
AMERICAN CHEMICAL SOCIETY	2000	8604785	0	0	0	0	0	0	0	0	0
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL	1997	2038987	34200	0.016773	0	1	0	1	0	1	0
ROBERT MACKINNON	2003	45000	45000	1	0	1	1	1	1	1	1
MOFFATT & NICHOL ENGINEERS	2010	10757210.36	257785	0.023963	0	1	0	1	0	0	0
VIDEO LAB	2013	6982.6	6982.6	1	0	1	1	1	1	1	1
KNIGHT PROTECTIVE SERVICES	1997	2531705	2287129	0.903394	0	1	1	1	1	0	0
101 MARIETTA STREET ASSOCIATES	2007	6609.13	6609.13	1	0	1	1	1	1	1	1
COMPLETE INDUSTRIAL SERVICE	2000	481000	481000	1	0	1	1	1	1	1	1
HAMPDEN ENGINE	2013	301805.7499	56676.5999	0.187791	0	1	1	1	1	0	0
MOTOR TECHNOLOGY	2010	189097	188797	0.998413	0	1	0	1	0	1	0
AQUASIS SERVIC	2000	1372845	1372845	1	0	1	1	1	1	1	1
NORCAL WASTE SYSTEM	2007	689507.69	131321.88	0.190457	0	1	1	1	1	1	0
SANOFI	2013	522329165.3	24683.2797	0.000047	1	1	1	0	0	0	0
AMERICAN BUREAU OF SHIPPING	2004	292640	0	0	0	0	0	0	0	0	0
CATERPILLAR	2000	112788046	58380	0.000517	1	1	0	1	0	0	0
PYRAMID SERVICES	1997	-450000	-450000	1	0	1	1	1	1	1	1
ADVANCED ENGINEERING ASSOCIATE	2003	763722	163722	0.214373	0	1	1	1	1	0	0
IROBOT	2013	25173035.74	330142.2822	0.013114	0	1	1	1	1	0	0
THE SALVATION ARMY	2013	24300	0	0	0	0	0	0	0	0	0
THERMO PROCESS	2010	797781.77	797781.77	1	0	1	1	1	1	1	1
WEIDEMANN ASSOCIATES ORPOR	2003	2300000	2300000	1	0	1	1	1	1	1	1
VIDEO LAB	2010	107733.05	107733.05	1	0	1	1	1	1	1	1
CFM INTERNATIONAL	1991	316499000	0	0	1	0	0	0	0	0	0
AMERICAN CHEMICAL SOCIETY	1997	35375	0	0	0	0	0	0	0	0	0
BROADSMART	2007	100678.67	100678.67	1	0	1	1	1	1	1	1
HAMPDEN ENGINE	2010	3838929.05	77131.6	0.020091	0	1	1	1	1	0	0
HAY GROUP	1997	445639	0	0	0	0	0	0	0	0	0
METROPOLITAN SECURITY SERVICE	2010	43252101.3	0	0	0	0	0	0	0	0	0
ARINC [Carlyle Group]	2013	303712786.8	0	0	0	0	0	0	0	0	0
STEVENS WILK	1997	1266255	227790	0.179892	0	1	1	1	1	0	0
R LEWIS &	2002	579000	579000	1	0	1	1	1	1	0	0
GLOBAL CONTAINER LINE	2002	5318944	0	0	0	0	0	0	0	0	0
METROPOLITAN SECURITY SERVICE	2005	9729469.14	0	0	0	0	0	0	0	0	0
RONCO	2005	766367.91	491212.91	0.640962	0	1	1	1	1	1	0
THE FORGE COMPANY	2008	3274484.19	302806	0.092474	0	1	1	1	1	0	0
SANOFI	2005	361397261.6	55436285.57	0.153394	1	1	1	1	1	0	0
DOUBLE DAY OFFICE SERVICES	2005	33160.38	33160.38	1	0	1	1	1	1	1	1
SRS TECHNOLOGIES	2008	137678674.3	9485761.22	0.068897	0	1	0	1	0	1	0
THE HAPAK COMPANIES	2005	20985	20985	1	0	1	1	1	1	1	1
SPECTRUM CONTROL	1996	55380	55380	1	0	1	1	1	1	1	1
CMP DEVELOPMENT	2008	8550	8550	1	0	1	1	1	1	1	1
EARL J GOODYEAR	2002	118000	118000	1	0	1	1	1	1	1	1
WIJESINGHE MARCELLE J	2002	110000	110000	1	0	1	1	1	1	1	1
BRITISH TELECOMMUNICATIONS	2002	20864059	0	0	1	0	0	0	0	0	0
METROPOLITAN SECURITY SERVICE	2002	12925433.4	7545000	0.583732	0	1	1	1	1	0	0
THE SALVATION ARMY	2002	3332459	0	0	0	0	0	0	0	0	0
NORCAL WASTE SYSTEM	1999	15520	183954	11.852706	0	1	1	1	1	0	0
URS	2008	3583794515	1202786.39	0.000335	1	1	0	1	0	0	0
MOFFATT & NICHOL ENGINEERS	2011	6860045.78	1059834	0.154493	0	1	0	1	0	0	0
MICHAEL BAKER	2002	27882583	1084042	0.038878	0	1	0	1	0	0	0
CADDELL CONSTRUCTION CO	1995	50305025	0	0	0	0	0	0	0	0	0
UNTEC OF AMERICA	2015	87208	1342	0.015388	0	1	1	1	1	0	0
IHI	1992	94031	94031	1	0	1	1	1	1	1	1
SOUTHWESTERN BELL	2011	104762.75	0	0	0	0	0	0	0	0	0
Mansfield Oil	1992	1162211	1162211	1	0	1	1	1	1	1	1
INTERFACE	2015	1822391.56	398004.87	0.218397	0	1	1	1	0	0	0
NANA DEVELOPMENT CORP	2012	208679544	175867493.2	0.842763	0	1	1	1	1	1	0
THE HOME DEPOT	2012	4639.04	0	0	0	0	0	0	0	0	0
INTERFACE	1992	2453093	0	0	0	0	0	0	0	0	0
MOTOR OILCORINTH REFINERIES SA	1998	9618319	0	0	1	0	0	0	0	0	0
MORRISON KNUDSEN	2014	45216168	0	0	0	0	0	0	0	0	0
STANDARD AERO	2015	18180300.22	600.28	0.000033	0	1	0	0	0	0	0
KRAFT GENERAL FOODS	1992	40561034	559931	0.013804	0	1	0	1	0	1	0
BERING STRAIT	2015	1492618.2	1492618.2	1	0	1	1	1	1	1	1
B & K RENTALS AN	2015	9750	9750	1	0	1	1	1	1	1	1
IRON MOUNTAIN	2007	12751931.74	3977698.79	0.311929	0	1	0	1	0	0	0
"METALMARK CAPITAL, LLC [HUNTER DEFENSE TECHNOLOGIES]"	2010	28674640.67	3685200.66	0.128517	0	1	1	1	1	0	0
JOHN T STALP	2010	114268	114268	1	0	1	1	1	1	1	1
BROOKHAVEN SCIENCE  [BATTELLE/RESEARCH FOUNDATION OF SUNY]	2000	403502000	0	0	1	0	0	0	0	0	0
ABS GROUP OF COMPANIES	2012	86699.46	-5700.04	-0.065744	0	1	1	0	0	0	0
COMPUWARE	2007	20287017.29	1303980	0.064276	0	1	1	1	1	0	0
INTELLIGENT DECISIONS	1997	2624168	1729036	0.658889	0	1	1	1	1	0	0
ADVANCED MICROMACHINES	2013	67375	67375	1	0	1	1	1	1	1	1
SPENCER REED GROUP	2003	6699859.71	6139359.71	0.916341	0	1	1	1	1	0	0
SEMCOR	1994	42688651	1634545	0.038289	0	1	1	1	1	0	0
SEMCOR	1997	83038475	12111985	0.145859	0	1	1	1	1	0	0
ELLIOTT AVIATION	2010	8078.69	8078.69	1	0	1	1	1	1	1	1
SYSTEMS PLANNING	2003	273334	0	0	0	0	0	0	0	0	0
UNTEC OF AMERICA	2007	68907.9	64136.3	0.930753	0	1	1	1	1	0	0
ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY	2010	90768507.92	0	0	1	0	0	0	0	0	0
JEOL	1997	2536256	45866	0.018084	0	1	1	1	1	0	0
NMC GROUP	2003	1987598	1987598	1	0	1	1	1	1	1	1
"METALMARK CAPITAL, LLC [HUNTER DEFENSE TECHNOLOGIES]"	2013	4848184.102	0	0	0	1	1	0	0	0	0
ATLANTIC DIVING SUPPLY	2000	164695	164695	1	0	1	1	1	1	1	1
UNIVERSITY OF UTAH HEALTH SCIE	2003	14169128	109900	0.007756	0	1	0	1	0	0	0
IRON MOUNTAIN	2010	16180365.26	4442959.31	0.274589	0	1	0	1	0	1	0
NCR	1994	28320000	0	0	1	0	0	0	0	0	0
HARSCO	1991	621366000	604000	0.000972	0	1	0	1	0	1	0
ROLLS ROYCE	2013	778293613.5	45900	0.000058	1	1	0	0	0	0	0
QUANTUM RESEARCH INTERNATIONAL	2010	28901182.05	28876031.21	0.999129	0	1	1	1	1	0	0
Thermo Dynamics	2006	262525	262525	1	0	1	1	1	1	1	1
CLEAN VENTURE	1991	405000	62000	0.153086	0	1	0	1	0	1	0
KOC HOLDING	2013	41365.7007	0	0	1	0	0	0	0	0	0
TENNESSEE VALLEY AUTHORITY	1994	37783916	0	0	1	0	0	0	0	0	0
SIERRA NEVADA	2010	734390594.8	11527641.16	0.015696	0	1	0	1	0	1	0
"METALMARK CAPITAL, LLC [HUNTER DEFENSE TECHNOLOGIES]"	2007	61489133.68	1643535	0.026728	0	1	1	1	1	0	0
RURAL METRO	2010	998700	0	0	0	0	0	0	0	0	0
FAIRCHILD	1991	166000	0	0	0	0	0	0	0	0	0
AMERICAN WATER WORKS COMPANY	2010	112139599.1	0	0	0	1	0	0	0	0	0
OPTICAL CABLE	2010	2485190	2485190	1	0	1	1	1	1	1	1
SRC MANAGEMENT	2014	179777783.3	234934.029	0.001306	0	1	0	1	0	1	0
COMMERCIAL AG & ELECTRIC	2011	26505.42	26505.42	1	0	1	1	1	1	1	1
AKZO NOBEL	2011	10317708	0	0	0	0	0	0	0	0	0
INDIANOLA PARTNERS	2013	17000	17000	1	0	1	1	1	1	1	1
JVP ENGINEERS PC	2002	1723868	1723868	1	0	1	1	1	1	0	0
BROWNING FERRIS	2002	3094234.83	136651	0.044163	0	1	0	1	0	1	0
UNITEK TECHNOLOGY	1996	676612	299740	0.443001	0	1	1	1	1	0	0
OPTICS 1	1993	393262	393262	1	0	1	1	1	1	1	1
KONTRON AG	2002	695702	131384	0.18885	0	1	1	1	1	0	0
NORTHWEST PROCUREMENT INSTITUT	2011	9999	9999	1	0	1	1	1	1	1	1
ATLANTIS	2008	208323.24	171605.24	0.823745	0	1	1	1	1	0	0
WEEKS MARINE	1990	3666000	77000	0.021003	0	1	1	1	1	0	0
ANALYSIS & TECHNOLOGY	1996	96482004	-16594	-0.000171	0	1	0	0	0	0	0
RAYTHEON	2008	15410143720	32376417.63	0.0021	1	1	0	1	0	1	0
CITY OF LAWRENCE	2013	204000	0	0	0	0	0	0	0	0	0
RHEINMETALL AG	2011	31204624.17	0	0	0	0	0	0	0	0	0
ADVANTAGE FENCE	2008	10768	10768	1	0	1	1	1	1	1	1
SIGN LANGUAGE ASSOCIATES	2008	2316876.42	1977745.14	0.853625	0	1	1	1	1	0	0
PLATINUM EQUITY HOLDINGS	2014	355151.4	349271.4	0.983443	0	1	1	1	1	0	0
TANADQUISX	2008	7035078.64	7035078.64	1	0	1	1	1	1	1	1
GEONEX	1995	5714051	0	0	0	0	0	0	0	0	0
DEPARTMENT OF ONCOLOGY	2005	26271914.68	10600	0.000403	0	1	1	0	0	0	0
PUBLIC HEALTH FOUNDATION OF INDIA	2014	-2599	0	0	0	0	0	0	0	0	0
OPTICS 1	1996	468790	468790	1	0	1	1	1	1	1	1
Navistar International	2004	51885887.27	0	0	1	0	0	0	0	0	0
ROBERTSON FUEL SYSTEMS	2007	70564830.99	56335237.03	0.798347	0	1	1	1	1	0	0
EATONORAT	1999	62866041	1711921	0.027231	0	1	0	1	0	0	0
DELL	1990	2413000	66000	0.027351	1	1	0	1	0	0	0
SYSTEMS INTEGRATION	1990	2279000	2279000	1	0	1	1	1	1	1	1
EQUIFAX	2008	11487895.09	12053	0.001049	0	1	0	0	0	0	0
ACCURATE AUTOMATION	1991	150000	150000	1	0	1	1	1	1	1	1
AUTODESK	2011	16760	0	0	0	0	0	0	0	0	0
WESTERN PUMP	1996	70827	70827	1	0	1	1	1	1	1	1
WESTAT	1993	1302686	0	0	0	0	0	0	0	0	0
OFFORED FINANCE	2011	1806088.51	1806088.51	1	0	1	1	1	1	1	1
DCK-ECC JV	2014	12794268	0	0	0	0	0	0	0	0	0
BLACK EEL	1999	13949731	0	0	0	0	0	0	0	0	0
ROBERTSON FUEL SYSTEMS	2010	53998730.91	542922	0.010054	0	1	1	1	1	0	0
ARAMARK	1996	250286	57457	0.229565	0	1	0	1	0	1	0
OPTICS 1	1999	808565	808565	1	0	1	1	1	1	1	1
DELL	1993	5929030	177969	0.030016	1	1	0	1	0	1	0
SPRINT	1993	17825187	40924	0.002295	1	1	0	0	0	0	0
WOODWARD CLYDE	1990	443000	0	0	0	0	0	0	0	0	0
SOUTHALL WALKER INTERNATIONAL	2008	290000	290000	1	0	1	1	1	1	1	1
DCK-ECC JV	2011	127965000	0	0	0	0	0	0	0	0	0
WESTAT	1996	1777246	0	0	0	0	0	0	0	0	0
EXXON MOBIL	2014	878349556.7	0	0	1	0	0	0	0	0	0
CASALS & ASSOCIATES	2011	14910629.18	0	0	0	0	0	0	0	0	0
SIGN LANGUAGE ASSOCIATES	2009	2289410.7	1849013.4	0.807637	0	1	1	1	1	0	0
MICROSOFT	2009	112586605.4	1129807.73	0.010035	1	1	0	1	0	0	0
GVI	2014	24235.75	18896	0.779674	0	1	1	1	1	0	0
GRACON	2011	14662471.34	13602440.34	0.927704	0	1	1	1	1	0	0
TAT TECHNOLOGIES	2006	1169801	0	0	0	0	0	0	0	0	0
PEACEKEEPER	2008	2394.96	2394.96	1	0	1	1	1	1	1	1
SIMTEK	2002	99995	99995	1	0	1	1	1	1	1	1
EWA	1999	2736922	2736922	1	0	1	1	1	1	1	1
JVYS [YULISTA/SES]	2008	326363145	0	0	0	0	0	0	0	0	0
SAINT GOBAIN	2008	2097985.75	0	0	0	0	0	0	0	0	0
GENERAL	2014	-291202.71	0	0	0	0	0	0	0	0	0
JUAREZ & ASSOCIATES	2002	1466000	1466000	1	0	1	1	1	1	1	1
QUANTA SYSTEMS	2008	4729380.63	0	0	0	0	0	0	0	0	0
ZERONE	2005	9748505.77	8925752.68	0.915602	0	1	1	1	1	0	0
AMERICAN STANDARD	1999	1924980	325833	0.169265	0	1	0	1	0	1	0
HDO PRODUCTIONS	2008	4762.5	4762.5	1	0	1	1	1	1	1	1
DAVID F BURNETT	2005	1400	1400	1	0	1	1	1	1	1	1
SERMATECH INTERNATIONAL	2008	640513.15	55841.9	0.087183	0	1	0	1	0	0	0
MITOKOR	2008	4135	4135	1	0	1	1	1	1	1	1
THE LTV	2002	34193218	0	0	0	0	0	0	0	0	0
AMTEC	1999	22586080	21942086	0.971487	0	1	1	1	1	0	0
RES-Q [CONCERRO]	2008	30422	30422	1	0	1	1	1	1	1	1
PRN TRANSCRIPTI	2002	170000	170000	1	0	1	1	1	1	1	1
JET INDUSTRIAL ELECTRONICS	2005	984265	984265	1	0	1	1	1	1	1	1
PETROLEUM TRADERS	2005	205335450.7	205043248.6	0.998576	0	1	1	1	1	0	0
ALASKA POWER TELEPHONE	2005	39484	22948	0.581197	0	1	0	1	0	1	0
COLTEC INDUSTRIES	2002	2890349	0	0	0	0	0	0	0	0	0
CGI GROUP	2005	52606572.75	0	0	1	0	0	0	0	0	0
BAHRAIN PETROLEUM COMPANY	2014	636052230	0	0	1	0	0	0	0	0	0
3H TECHNOLOGY	2002	2690000	2690000	1	0	1	1	1	1	1	1
CRAIG'S TRANSPO	2002	8000	8000	1	0	1	1	1	1	1	1
ALL POINTS LOGISTICS	2005	11700839.88	10275990.29	0.878226	0	1	1	1	1	0	0
AMETEK	2004	24417616	2745751	0.112449	0	1	0	1	0	1	0
MERCURY AIR GROUP	2005	16466939.19	1455232	0.088372	0	1	1	1	1	0	0
ARCTIC SLOPE REGIONAL	2005	33097137.13	32710292.13	0.988311	0	1	1	1	1	1	0
PRIDE INDUSTRIES	2005	43719765.35	161161.4	0.003686	0	1	0	0	0	0	0
JUAREZ & ASSOCIATES	2005	2433339	2433339	1	0	1	1	1	1	1	1
SUTRON	1994	603486	282333	0.467836	0	1	1	1	1	0	0
GTE [VERIZON]	2006	-234680	0	0	1	0	0	0	0	0	0
MERCURY AIR GROUP	2013	23238582.01	0	0	0	0	0	0	0	0	0
HITACHI	2000	2888428	392395	0.13585	0	1	0	1	0	1	0
UNIVERSITY OF FLORIDA	1991	4028000	0	0	0	0	0	0	0	0	0
TENIR INVESTMENTS	2004	4588822.27	3743276.56	0.815737	0	1	1	1	1	0	0
BATTLESPACE FLIGHT SERVICES	2013	82855365	0	0	0	1	1	0	0	0	0
SABRELINER	1991	58541000	47973000	0.819476	0	1	1	1	1	1	0
EQM	2013	49381313.22	48605717.26	0.984293	0	1	1	1	1	0	0
JORGE SCIENTIFIC	2000	15216978	15216978	1	0	1	1	1	1	1	1
STERLING SOFTWARE	1997	30277251	0	0	0	0	0	0	0	0	0
UNIVERSITY PLAZA ASSOCIATES	2007	217951.55	0	0	0	0	0	0	0	0	0
DUN & BRADSTREET	1997	1090538	79574	0.072967	0	1	0	1	0	0	0
BNF TECHNOLOGIES	2010	1117200.61	1117200.61	1	0	1	1	1	1	1	1
DHL	2013	207028.1635	-22218.8792	-0.107322	0	1	0	1	0	1	0
LB & B ASSOCIATES	2000	50665547.92	45831463.12	0.904588	0	1	1	1	1	0	0
TOKYO ELECTRIC POWER	2004	17342659	0	0	0	0	0	0	0	0	0
GLOBAL LINGUIST SOLUTIONS	2010	856011506.1	0	0	0	0	0	0	0	0	0
ZERONE	2003	11699918.12	11699918.12	1	0	1	1	1	1	1	1
REVEAL IMAGING TECHNOLOGIES [SAIC]	2010	28818995.99	28818995.99	1	0	1	1	1	1	1	1
KENNETH SUDOL & ASSOCIATES	2002	6050	6050	1	0	1	1	1	1	1	1
JONES & STOKES ASSOCIATES	1998	2978761	1012312	0.339843	0	1	1	1	1	0	0
GENERAL TECHNOLOGY	2002	47272	0	0	0	0	0	0	0	0	0
CREATIVE ASSOCIATES INTERNATIONAL	2012	150696008.9	143069.9	0.000949	0	1	1	0	0	0	0
OFFSHORE	2012	45000	45000	1	0	1	1	1	1	1	1
LIEBERT	2000	400233	94850	0.236986	0	1	0	1	0	1	0
REUBEN JOHNSON & SON	2002	17900	0	0	0	0	0	0	0	0	0
CITIZENS COMMUNICATIONS	2002	4116343	51412	0.012489	0	1	0	1	0	0	0
SUPPLYCORE	2012	69368535.9	66084045.35	0.952651	0	1	1	1	1	0	0
GRAEBEL MOVERS	2007	3339	3339	1	0	1	1	1	1	1	1
METRO MACHINE [General Dynamics]	2001	89447108	89447108	1	0	1	1	1	1	1	1
BOSTON GAS	2014	6000	0	0	0	1	1	0	0	0	0
NANA DEVELOPMENT	2008	81953227.59	77235497.06	0.942433	0	1	1	1	1	0	0
DELL	2011	1460828424	706014.35	0.000483	1	1	0	1	0	1	0
ALION SCIENCE & TECHNOLOGY	2006	124898523.9	1242438.12	0.009947	0	1	0	1	0	1	0
ENTRUST	2004	3714945.89	79343.2	0.021357	0	1	1	1	1	0	0
BFM AEROSPACE	2011	4046847.41	0	0	0	0	0	0	0	0	0
NI INDUSTRIES	2011	-268790.21	0	0	0	0	0	0	0	0	0
NETFIRES	2009	237105852.7	0	0	1	0	0	0	0	0	0
AMERICAN SOCIETY SAFETY ENGR	2010	4700	0	0	0	0	0	0	0	0	0
HYPERION SOFTWARE	2003	12316394.31	12036959.31	0.977311	0	1	1	1	1	1	0
GRACON	2014	1127935	871061	0.772261	0	1	1	1	1	0	0
AMOCO	1993	95841947	0	0	1	0	0	0	0	0	0
BOSTON GAS	1991	4213000	0	0	0	0	0	0	0	0	0
JONES & STOKES ASSOCIATES	2001	6643491	703020	0.10582	0	1	0	1	0	0	0
THE OF MERCER MER	2012	15518295.95	0	0	0	0	0	0	0	0	0
CREATIVE ASSOCIATES INTERNATIONAL	2009	225110576.9	0	0	0	1	1	0	0	0	0
LAPI	2014	450000	450000	1	0	1	1	1	1	1	1
AM GENERAL	2007	3359101634	472979.3	0.00014	0	1	0	0	0	0	0
URBAN INSTITUTE	2001	12756613	50000	0.003919	0	1	1	0	0	0	0
STARFIRE INDUSTRIES MANAGEMENT	2015	2600000	2600000	1	0	1	1	1	1	1	1
UNICCO SERVICE COMPANY	2000	9493250	38000	0.004002	0	1	1	0	0	0	0
"SOLACOM TECHNOLOGIES, INC [ATC BUSINESS UNIT]"	2008	50429	16289	0.323008	0	1	1	1	1	0	0
ZEIDERS ENTERPRISES	1999	8309863	8309863	1	0	1	1	1	1	1	1
SUN COMPANY	2011	5204000	0	0	0	0	0	0	0	0	0
"CIRCOR INTERNATIONAL, INC [AEROSPACE]"	2001	217582	0	0	0	0	0	0	0	0	0
NANA DEVELOPMENT	2011	13146782.22	3755596.19	0.285666	0	1	1	1	1	0	0
UNIVERSITY OF L	2004	6587108.34	0	0	0	0	0	0	0	0	0
VANGENT [General Dynamics]	2012	126751803	111864038.9	0.882543	0	1	0	1	0	0	0
